recipe_id,avg_rating,rating_count,name,name_wrapped
486261,4.990783410138249,217,Mexican Stack-Up #RSC,Mexican Stack-Up #RSC
42976,4.915254237288136,118,Brown Sugar Bundt Cake,Brown Sugar Bundt Cake
92072,4.865671641791045,134,Monterey Chicken Rolls,Monterey Chicken Rolls
100526,4.848920863309353,139,"Sweet, Creamy Coleslaw","Sweet, Creamy Coleslaw"
216350,4.847328244274809,131,linda s cheesecake stuffed strawberries,"linda s cheesecake stuffed
strawberries"
38846,4.846153846153846,117,spiced sweet roasted red pepper   feta hummus,"spiced sweet roasted red
pepper   feta hummus"
73488,4.844444444444444,135,individual cream cheese danish,individual cream cheese danish
93223,4.84,100,croutons,croutons
104975,4.836065573770492,122,easy  festive chocolate holiday pretzels,"easy  festive chocolate
holiday pretzels"
26451,4.82,100,white fish in herbed butter,white fish in herbed butter
